sub_part,drawing_name,item_number,ShapePath
808/00422,215690,1,"m472,1665 l531,1665 l531,1724 l472,1724 x e"
826/11627,922521,6,"m303,1754 l362,1754 l362,1813 l303,1813 x e "
333/C8657,333-D1586-2,1A,"m527,1101 l586,1101 l586,1160 l527,1160 x e "
332/D5650,128-G8558-1,12,"m860,1165 l919,1165 l919,1224 l860,1224 x e "
JLV0798,332-K4394-2,12,"m209,580 l261,580 l261,632 l209,632 x e "
332/E4161,128-C6547-6,7,"m317,650 l369,650 l369,711 l317,711 x e "
333/D8456,980-A0152-1,3,"m1274,1183 l1333,1183 l1333,1242 l1274,1242 x e "
333/G3318,131410,3,"m729,1265 l788,1265 l788,1324 l729,1324 x e "
581/M7013,128-D9343-2,5,"m1362,1682 l1421,1682 l1421,1741 l1362,1741 x e "
32/915702,907200,3,"m860,441 l919,441 l919,500 l860,500 x e "
32/925666,740944,3,"m572,1071 l631,1071 l631,1130 l572,1130 x e"
629/80108,160-01234-28,13,"m306,263 l365,263 l365,322 l306,322 x e "
331/66727,743117,20,"m1170,209 l1229,209 l1229,268 l1170,268 x e "
332/C8813,333-A2202-2,3,"m1077,751 l1136,751 l1136,810 l1077,810 x e "
332/C4388,980-90468-1,4,"m508,1257 l567,1257 l567,1316 l508,1316 x e "
991/20030,561-60169-2,50,"m504,1290 l575,1290 l575,1358 l504,1358 x e "
6079/0513,268750,18,"m211,456 l270,456 l270,515 l211,515 x e"
32/925336,777743,3,"m991,764 l1050,764 l1050,823 l991,823 x e "
332/C0010,128-E7171-4,9,"m257,58 l306,58 l306,116 l257,116 x e "
811/90125,325943,32,"m1196,189 l1255,189 l1255,248 l1196,248 x e"
333/C8657,333-D9888-1,A,"m297,766 l356,766 l356,825 l297,825 x e "
32/925335,414531,2,"m1124,1133 l1183,1133 l1183,1192 l1124,1192 x e"
332/C0010,128-D0042-4,11,"m140,346 l199,346 l199,405 l140,405 x e "
232/02008,333-T6601-1,2,"m1140,928 l1200,928 l1200,980 l1140,980 x e "
128/14725,128-14727-4,1,"m1318,83 l1377,83 l1377,142 l1318,142 x e "
331/11844,310632,1-2,"m356,633 l415,633 l415,692 l356,692 x e"
332/G3552,332-F8152-1,86,"m401,739 l460,739 l460,798 l401,798 x e "
333/R4243,128-E4235-1,3,"m1480,828 l1539,828 l1539,887 l1480,887 x e "
333/A2202,128-11321-22,1,"m871,388 l930,388 l930,447 l871,447 x e "
30/926572,128-15797-1,2,"m386,1388 l434,1388 l434,1445 l386,1445 x e "
581/M7013,128-D9349-2,5,"m1337,1744 l1396,1744 l1396,1803 l1337,1803 x e "
10/904321,JG0RA084-2,6,"m448,466 l507,466 l507,525 l448,525 x e "
826/11353,128-15179-3,1,"m1092,485 l1151,485 l1151,544 l1092,544 x e "
10/904321,445101,12,"m1345,714 l1404,714 l1404,773 l1345,773 x e"
808/00422,215692,1,"m642,166 l701,166 l701,225 l642,225 x e"
333/D8456,980-89991-3,3,"m543,1694 l602,1694 l602,1753 l543,1753 x e "
JLV1627,269813,9,"m1260,614 l1319,614 l1319,673 l1260,673 x e"
556/70359,390001,7,"m710,717 l769,717 l769,776 l710,776 x e "
332/D5650,332-F5272-1,12,"m1192,814 l1251,814 l1251,873 l1192,873 x e "
556/60402,980-A1081-3,30,"m264,459 l323,459 l323,518 l264,518 x e "
332/C4284,909791,27,"m1146,1247 l1185,1247 l1185,1276 l1146,1276 x e "
904/20336,949252,11B,"m419,952 l478,952 l478,1011 l419,1011 x e "
459/M6678,442-00007-23,16,"m806,365 l865,365 l865,424 l806,424 x e "
904/20336,949252,11B,"m419,952 l478,952 l478,1011 l419,1011 x e "
333/Y1373,336-D2293-1,40,"m1099,544 l1158,544 l1158,603 l1099,603 x e "
581/M7013,128-D9340-2,4,"m1355,1678 l1414,1678 l1414,1737 l1355,1737 x e "
333/D8456,980-89994-3,3,"m945,1614 l1004,1614 l1004,1673 l945,1673 x e "
811/90472,389571,9,"m702,796 l761,796 l761,855 l702,855 x e "
910/60106,398450,6,"m920,536 l979,536 l979,595 l920,595 x e "
32/925349,8714154001-1,1-2,"m450,234 l529,234 l529,301 l450,301 x e "
332/D9619,128-16103-5,1,"m209,470 l268,470 l268,529 l209,529 x e "
332/C0010,934132,11,"m55,109 l114,109 l114,168 l55,168 x e"
814/00382,214800,2,"m409,637 l468,637 l468,696 l409,696 x e"
332/C0010,128-D0044-2,11,"m151,355 l210,355 l210,414 l151,414 x e "
333/Y4500,128-C9699-4,1,"m77,1652 l136,1652 l136,1711 l77,1711 x e "
32/925666,817670,3,"m575,956 l634,956 l634,1015 l575,1015 x e"
331/52662,128-G9186-5,20,"m41,152 l100,152 l100,211 l41,211 x e "
123/08014,329390,16,"m229,1566 l288,1566 l288,1625 l229,1625 x e "
911/33000,333-C6462-4,33,"m1214,410 l1273,410 l1273,469 l1214,469 x e "
556/60459,126-01907-10,11,"m1321,528 l1380,528 l1380,587 l1321,587 x e "
JLV1627,332-K0237-3,10,"m1011,188 l1087,188 l1087,262 l1011,262 x e "
333/Y4500,334-P7178-1,1,"m81,1652 l140,1652 l140,1711 l81,1711 x e "
331/52662,128-H2953-1,2,"m213,565 l272,565 l272,624 l213,624 x e "
333/D8456,980-89992-5,3,"m601,1663 l659,1663 l659,1713 l601,1713 x e "
811/90125,325940,10,"m1163,224 l1222,224 l1222,283 l1163,283 x e "
332/G3554,332-F8149-1,43,"m621,257 l680,257 l680,316 l621,316 x e "
808/00422,790451,15,"m472,1702 l531,1702 l531,1761 l472,1761 x e "
333/D8456,980-89995-4,3,"m812,1461 l871,1461 l871,1520 l812,1520 x e "
332/Y3163,336-B8426-1,5,"m1376,225 l1435,225 l1435,284 l1376,284 x e "
814/00382,278531,2,"m543,681 l602,681 l602,740 l543,740 x e"
32/915701,279002,4,"m1204,852 l1263,852 l1263,911 l1204,911 x e"
808/00422,215691,1,"m590,1692 l649,1692 l649,1751 l590,1751 x e"
333/D8456,980-89991-3,3,"m543,1694 l602,1694 l602,1753 l543,1753 x e "
581/M7013,128-D9343-2,5,"m1362,1682 l1421,1682 l1421,1741 l1362,1741 x e "
559/60215,128-H5514-1,5,"m248,1358 l307,1358 l307,1417 l248,1417 x e "
332/A3731,924232,4,"m1317,499 l1376,499 l1376,558 l1317,558 x e "
811/90472,126-00910-7,2,"m1207,474 l1266,474 l1266,533 l1207,533 x e "
331/46268,774821,1,"m238,166 l297,166 l297,225 l238,225 x e "
556/70359,390000,2,"m1233,155 l1292,155 l1292,214 l1233,214 x e "
02/800001,510053,72-1,"m905,1574 l964,1574 l964,1633 l905,1633 x e"
333/F3125,128-F3061-2,1,"m45,645 l104,645 l104,704 l45,704 x e "
991/20023,561-60177-2,50,"m1347,691 l1406,691 l1406,750 l1347,750 x e "
331/66778,310840,3,"m424,1517 l483,1517 l483,1576 l424,1576 x e"
629/80108,265883,13,"m318,322 l377,322 l377,381 l318,381 x e"
JLV1627,269814,9,"m742,352 l801,352 l801,411 l742,411 x e "
701/80476,335-E9350-5,28,"m2633,55 l2712,55 l2712,114 l2633,114 x e "
JLV0798,713820,12,"m232,545 l291,545 l291,604 l232,604 x e "
332/K9937,336-B2126-7,5,"m988,603 l1047,603 l1047,662 l988,662 x e "
910/60199,743124,50,"m1423,402 l1482,402 l1482,461 l1423,461 x e "
332/C4284,128-H8679-1,28,"m1271,1325 l1330,1325 l1330,1384 l1271,1384 x e "
701/80476,296-12452-3A,41,"m315,1182 l374,1182 l374,1241 l315,1241 x e "
910/60216,128-15053-4,1B,"m1080,444 l1139,444 l1139,503 l1080,503 x e "
32/925763,818411,6,"m1161,1139 l1220,1139 l1220,1198 l1161,1198 x e "
334/E0829,334-U5252-1,6,"m359,616 l418,616 l418,675 l359,675 x e "
1207/0015,172280,7,"m1307,1299 l1366,1299 l1366,1358 l1307,1358 x e "
557/60092,259990,4,"m54,338 l113,338 l113,397 l54,397 x e"
331/52662,128-G9186-4,20,"m40,148 l99,148 l99,207 l40,207 x e "
612/26500,130812,15,"m1345,219 l1400,219 l1400,274 l1345,274 x e"
556/60459,128-17423-3,11,"m274,1389 l333,1389 l333,1448 l274,1448 x e "
32/925876,11-11330,3,"m303,913 l362,913 l362,972 l303,972 x e "
991/20023,21510,50,"m878,1468 l937,1468 l937,1527 l878,1527 x e "
332/G3554,332-F8149-1,43,"m621,257 l680,257 l680,316 l621,316 x e "
331/45731,444881,5A,"m83,1606 l142,1606 l142,1665 l83,1665 x e "
811/90471,389541,7,"m630,868 l689,868 l689,927 l630,927 x e"
10/907077,333-D3436-1,30,"m917,972 l1000,972 l1000,1044 l917,1044 x e "
331/45731,949251,12A,"m352,1464 l411,1464 l411,1523 l352,1523 x e "
991/20030,927122,5,"m394,607 l453,607 l453,666 l394,666 x e "
KBV0735,937530,4,"m725,1067 l783,1067 l783,1125 l725,1125 x e "
332/C4388,980-A0213-1,4,"m1088,1489 l1147,1489 l1147,1548 l1088,1548 x e "
332/D1079,128-12346-16,2,"m786,611 l845,611 l845,670 l786,670 x e "
811/50428,325940,3,"m970,1174 l1029,1174 l1029,1233 l970,1233 x e "
6079/0513,25071,13,"m1598,1306 l1657,1306 l1657,1365 l1598,1365 x e "
333/F1379,980-A9192-2,16,"m850,1598 l909,1598 l909,1657 l850,1657 x e "
10/904321,928250,38,"m1236,1278 l1295,1278 l1295,1337 l1236,1337 x e "
126/02237,415560,9,"m1170,683 l1229,683 l1229,742 l1170,742 x e"
332/E7252,334-D8703-2,50,"m693,652 l752,652 l752,711 l693,711 x e "
6079/0513,908600,18,"m1488,205 l1547,205 l1547,264 l1488,264 x e "
332/F8503,128-C1482-2,2,"m625,740 l684,740 l684,799 l625,799 x e "
32/915701,333-P3427-1,1,"m1055,940 l1114,940 l1114,1000 l1055,1000 x e "
331/64231,300330,1,"m1219,1007 l1278,1007 l1278,1066 l1219,1066 x e "
331/19091,160-12907-9,1,"m1163,1190 l1222,1190 l1222,1249 l1163,1249 x e "
811/90471,389571,6,"m1164,463 l1223,463 l1223,522 l1164,522 x e "
333/F1379,335-E8702-1,1,"m98,1350 l157,1350 l157,1409 l98,1409 x e "
581/M7013,128-F7615-6,50,"m1399,1714 l1458,1714 l1458,1773 l1399,1773 x e "
332/J3373,942190,3,"m578,817 l617,817 l617,846 l578,846 x e "
910/60207,790492,6,"m45,1314 l104,1314 l104,1373 l45,1373 x e "
334/L1924,126-00782-1,2,"m233,1081 l326,1081 l326,1168 l233,1168 x e "
559/60229,561-60177-2,A,"m514,47 l573,47 l573,106 l514,106 x e "
331/30894,126-00781-18,9,"m617,1105 l676,1105 l676,1164 l617,1164 x e "
162/01128,332-D2236-5,50,"m336,749 l392,749 l392,786 l336,786 x e "
333/R4242,128-C5672-2,2,"m956,539 l1015,539 l1015,598 l956,598 x e "
02/801899,872410,25,"m97,757 l156,757 l156,816 l97,816 x e "
25/221196,128-G8566-1,7,"m210,634 l260,634 l260,694 l210,694 x e "
7242/50252,845510,2,"m830,1104 l889,1104 l889,1163 l830,1163 x e "
32/925349,939320,3,"m1102,801 l1161,801 l1161,860 l1102,860 x e "
438/00006,334-Y6554-1,7,"m450,1779 l509,1779 l509,1838 l450,1838 x e "
333/D8456,980-A0150-1,3,"m1249,1129 l1308,1129 l1308,1188 l1249,1188 x e "
581/M7013,441-M6148-7,62,"m2059,303 l2118,303 l2118,362 l2059,362 x e "
332/J3373,949400,A,"m352,2 l411,2 l411,61 l352,61 x e "
331/46268,774821,1,"m238,166 l297,166 l297,225 l238,225 x e "
811/90590,128-14100-11,7,"m945,1524 l1004,1524 l1004,1583 l945,1583 x e "
828/10401,345-00534-10,26,"m336,1272 l391,1272 l391,1316 l336,1316 x e "
10/907077,333-C5969-1,30,"m930,972 l998,972 l998,1036 l930,1036 x e "
332/G0942,126-01066-11,2,"m202,975 l261,975 l261,1034 l202,1034 x e "
333/D8456,980-89994-3,3,"m945,1614 l1004,1614 l1004,1673 l945,1673 x e "
808/00422,215692,1,"m642,166 l701,166 l701,225 l642,225 x e"
813/M7603,128-G2028-2,50,"m294,903 l353,903 l353,962 l294,962 x e "
332/F5833,128-G5542-1,3,"m169,343 l228,343 l228,402 l169,402 x e "
332/G0719,126-01064-10,5,"m1076,1349 l1135,1349 l1135,1408 l1076,1408 x e "
32/919902,733640,4,"m916,1460 l975,1460 l975,1519 l916,1519 x e "
333/C6860,333-E7803-1,20,"m1069,683 l1125,683 l1125,729 l1069,729 x e "
232/02008,21412,2,"m1003,310 l1062,310 l1062,369 l1003,369 x e "
827/80472,128-13862-13,2,"m1461,693 l1520,693 l1520,752 l1461,752 x e "
910/60215,128-15053-4,1A,"m856,246 l915,246 l915,305 l856,305 x e "
557/60092,259940,13,"m784,5 l843,5 l843,64 l784,64 x e "
612/26500,816420,44,"m1400,1150 l1459,1150 l1459,1209 l1400,1209 x e "
02/800001,251382,6,"m780,1623 l839,1623 l839,1682 l780,1682 x e "
813/M7603,450-00023-3,50,"m1399,485 l1458,485 l1458,544 l1399,544 x e "
826/11353,777110,6,"m1071,1532 l1130,1532 l1130,1591 l1071,1591 x e "
581/M7013,334-Y1550-3,45,"m1782,245 l1841,245 l1841,304 l1782,304 x e "
581/M7013,128-F7624-8,50,"m1351,1736 l1410,1736 l1410,1795 l1351,1795 x e "
333/C3140,128-F9250-2,3,"m1302,908 l1361,908 l1361,967 l1302,967 x e "
333/Y1376,334-Y1977-1,3,"m1020,484 l1079,484 l1079,543 l1020,543 x e "
02/801899,11-12340,61,"m1625,572 l1684,572 l1684,631 l1625,631 x e "
333/D8456,980-A0208-1,3,"m1238,1240 l1297,1240 l1297,1299 l1238,1299 x e "
332/U8473,238-10106-6,2,"m1247,141 l1292,141 l1292,186 l1247,186 x e "
333/F1379,980-A9190-2,16,"m758,1575 l817,1575 l817,1634 l758,1634 x e "
811/90676,389520,12,"m111,1107 l170,1107 l170,1166 l111,1166 x e "
333/G3318,120393,6,"m281,894 l340,894 l340,953 l281,953 x e "
333/C3871,128-L3738-3,1,"m641,816 l700,816 l700,875 l641,875 x e "
811/50428,332-G5644-4,3,"m722,645 l781,645 l781,704 l722,704 x e "
331/52662,702990,2,"m543,1573 l602,1573 l602,1632 l543,1632 x e "
333/D8456,980-A0211-1,3,"m1228,1055 l1287,1055 l1287,1114 l1228,1114 x e "
332/C4388,333-S7350-2,20,"m1308,1039 l1367,1039 l1367,1098 l1308,1098 x e "
459/M2179,459-10195-6,16,"m613,1718 l672,1718 l672,1777 l613,1777 x e "
333/C7466,160-01020-17,25,"m380,1711 l439,1711 l439,1770 l380,1770 x e "
811/90676,128-14472-4,1,"m384,231 l443,231 l443,290 l384,290 x e "
123/07383,265151,22,"m973,439 l1032,439 l1032,498 l973,498 x e "
333/D8456,980-89995-4,3,"m812,1461 l871,1461 l871,1520 l812,1520 x e "
332/C4286,128-E8560-1,20,"m203,1071 l262,1071 l262,1130 l203,1130 x e "
831/10296,332-K0223-2,5,"m1278,768 l1337,768 l1337,827 l1278,827 x e "
6079/0513,268760,18,"m1282,452 l1341,452 l1341,511 l1282,511 x e"
911/33000,332-G5644-4,33,"m1128,238 l1187,238 l1187,297 l1128,297 x e "
160/01114,725680,7,"m856,1004 l915,1004 l915,1063 l856,1063 x e"
828/10401,332-M7660-2,20,"m1107,231 l1166,231 l1166,290 l1107,290 x e "
332/A3731,924232,4,"m1317,499 l1376,499 l1376,558 l1317,558 x e "
332/G3555,333-C2486-1,43B,"m96,1088 l155,1088 l155,1147 l96,1147 x e "
826/11235,128-10806-7,2,"m1314,934 l1373,934 l1373,993 l1314,993 x e "
128/11531,703811,5,"m393,43 l452,43 l452,102 l393,102 x e"
32/925838,870470,5,"m1007,698 l1066,698 l1066,757 l1007,757 x e "
332/C4388,522-02900-1,4,"m1233,904 l1292,904 l1292,963 l1233,963 x e "
333/C1013,15-10640,17,"m768,1479 l827,1479 l827,1538 l768,1538 x e "
32/915701,907200,2,"m1046,556 l1105,556 l1105,615 l1046,615 x e "
32/915701,441112,4,"m1031,915 l1090,915 l1090,974 l1031,974 x e"
333/F0388,333-D8449-7,70,"m1088,253 l1147,253 l1147,312 l1088,312 x e "
991/20023,559-60212-5,50,"m1336,62 l1395,62 l1395,121 l1336,121 x e "
JLV0514,268760,15,"m1157,516 l1216,516 l1216,575 l1157,575 x e"
332/C0010,128-D0046-2,12,"m1065,892 l1124,892 l1124,951 l1065,951 x e "
332/E4161,128-C6547-3,7,"m311,647 l370,647 l370,706 l311,706 x e "
32/925856,510053,72-1,"m905,1574 l964,1574 l964,1633 l905,1633 x e"
910/60236,128-15053-4,1,"m774,85 l833,85 l833,144 l774,144 x e "
KBJ1691A,336-B8422-1,8,"m529,1321 l588,1321 l588,1380 l529,1380 x e "
128/C2447,128-C2745-2,10,"m717,1100 l776,1100 l776,1159 l717,1159 x e "
331/56478,128-10806-7,3,"m377,963 l436,963 l436,1022 l377,1022 x e "
02/800001,252400,11-1,"m1134,924 l1193,924 l1193,983 l1134,983 x e"
32/920401,949520,2,"m1123,1314 l1182,1314 l1182,1373 l1123,1373 x e "
581/M7013,441-M3936-5,300,"m1652,124 l1711,124 l1711,183 l1652,183 x e "
581/M7012,798740,11,"m652,1661 l711,1661 l711,1720 l652,1720 x e "
333/C8657,333-D9891-2,1A,"m1045,875 l1104,875 l1104,934 l1045,934 x e "
333/D8456,980-89988-3,3,"m619,1155 l678,1155 l678,1214 l619,1214 x e "
813/M1221,449-13240-7,5,"m741,379 l807,379 l807,440 l741,440 x e "
826/11353,40-303790-2,1,"m581,586 l640,586 l640,645 l581,645 x e "
10/904321,928250,38,"m1236,1278 l1295,1278 l1295,1337 l1236,1337 x e "
556/60459,128-17425-7,11,"m1354,525 l1413,525 l1413,584 l1354,584 x e "
332/H3679,128-G1440-2,2,"m752,810 l811,810 l811,869 l752,869 x e "
581/M7013,441-00010-2,62,"m2048,303 l2107,303 l2107,362 l2048,362 x e "
559/60215,128-15215-11,11,"m1238,667 l1297,667 l1297,726 l1238,726 x e "
331/46268,774820,1,"m243,190 l302,190 l302,249 l243,249 x e "
1207/0015,172952,4,"m668,1592 l721,1592 l721,1645 l668,1645 x e"
991/20030,240951,30,"m1032,1508 l1091,1508 l1091,1567 l1032,1567 x e "
333/Y1376,334-Y2876-5,30,"m994,697 l1053,697 l1053,756 l994,756 x e "
556/70361,556-60421-1,7,"m699,716 l758,716 l758,775 l699,775 x e "
556/60459,128-17423-3,11,"m274,1389 l333,1389 l333,1448 l274,1448 x e "
332/E2480,25-223081-4,3,"m1225,228 l1284,228 l1284,287 l1225,287 x e "
332/D1079,128-D9608-6,2,"m683,737 l742,737 l742,796 l683,796 x e "
701/E8822,335-E0562-3,7,"m1051,1599 l1107,1599 l1107,1658 l1051,1658 x e "
332/D5650,333-A2250-2,10,"m472,795 l531,795 l531,854 l472,854 x e "
911/33000,725661,11,"m622,27 l681,27 l681,86 l622,86 x e "
331/52662,128-F0171-1,2,"m1172,229 l1231,229 l1231,288 l1172,288 x e "
332/Y3852,332-Y3829-4,1,"m1205,586 l1264,586 l1264,645 l1205,645 x e "
331/52662,128-F5275-1,2,"m1103,153 l1162,153 l1162,212 l1103,212 x e "
320/06803,OOXV0011650,2,"m1115,44 l1174,44 l1174,103 l1115,103 x e "
331/59839,332-H1600-1,160,"m114,1208 l208,1208 l208,1260 l114,1260 x e "
JLV0798,713820,12,"m844,902 l903,902 l903,961 l844,961 x e "
811/50507,857990,7,"m287,541 l346,541 l346,600 l287,600 x e "
6079/0513,332-K4394-1,33,"m200,565 l255,565 l255,620 l200,620 x e "
10/904322,928250,36,"m1376,1263 l1435,1263 l1435,1322 l1376,1322 x e "
JSA0043,331-21515-1,10,"m1123,1068 l1182,1068 l1182,1127 l1123,1127 x e "
826/11635,825420,7,"m243,1121 l302,1121 l302,1180 l243,1180 x e "
JLV1627,269812,9,"m1103,600 l1162,600 l1162,659 l1103,659 x e"
612/26500,398631,9,"m761,1407 l820,1407 l820,1466 l761,1466 x e "
160/01114,448330,6,"m373,1190 l432,1190 l432,1249 l373,1249 x e"
914/60254,743010,1,"m173,1474 l232,1474 l232,1533 l173,1533 x e "
25/222415,332-F8152-1,93,"m445,646 l504,646 l504,705 l445,705 x e "
128/E0100,128-E0102-3,1,"m726,691 l785,691 l785,750 l726,750 x e "
331/18846,359901,6,"m1147,282 l1206,282 l1206,341 l1147,341 x e "
629/80108,448411,13,"m354,347 l413,347 l413,406 l354,406 x e"
914/39000,129180,1,"m43,251 l96,251 l96,304 l43,304 x e"
126/02237,415560,9,"m1170,683 l1229,683 l1229,742 l1170,742 x e"
6079/0513,268750,18,"m1271,355 l1330,355 l1330,414 l1271,414 x e"
581/M7013,128-D9355-2,5,"m1315,1711 l1374,1711 l1374,1770 l1315,1770 x e "
KBV0735,956240,4,"m582,752 l641,752 l641,811 l582,811 x e"
25/222415,332-H4081-1,93,"m449,644 l508,644 l508,703 l449,703 x e "
332/G3681,725661,10,"m775,426 l834,426 l834,485 l775,485 x e "
333/C7466,160-14645-8,8,"m402,1720 l461,1720 l461,1779 l402,1779 x e "
332/C4284,909792,27,"m1140,1240 l1199,1240 l1199,1299 l1140,1299 x e "
32/925838,870470,5,"m1019,694 l1078,694 l1078,753 l1019,753 x e "
331/56478,128-10806-7,3,"m1213,818 l1272,818 l1272,877 l1213,877 x e "
331/19089,359900,5,"m1162,1417 l1221,1417 l1221,1476 l1162,1476 x e"
331/52662,128-P8085-4,2,"m398,850 l457,850 l457,909 l398,909 x e "
32/925838,789310,6,"m845,1633 l904,1633 l904,1692 l845,1692 x e "
332/P5260,928330A,8B,"m1277,919 l1336,919 l1336,978 l1277,978 x e "
333/D8456,980-A0161-1,3,"m1331,979 l1391,979 l1391,1039 l1331,1039 x e "
331/59839,921250,15,"m1154,560 l1213,560 l1213,619 l1154,619 x e "
581/M7013,441-M6623-2,62,"m2051,307 l2110,307 l2110,366 l2051,366 x e "
128/G6537,128-G5173-4,1,"m833,369 l892,369 l892,428 l833,428 x e "
333/D8456,124-13800-4,1,"m585,1614 l644,1614 l644,1673 l585,1673 x e "
02/800001,424990,3,"m490,930 l549,930 l549,989 l490,989 x e"
816/60056A,810700,7,"m1395,584 l1454,584 l1454,643 l1395,643 x e "
333/D8456,980-89988-3,3,"m619,1155 l678,1155 l678,1214 l619,1214 x e "
160/15208,448331,10,"m520,343 l579,343 l579,402 l520,402 x e "
02/800001,251381,6,"m856,1638 l915,1638 l915,1697 l856,1697 x e "
980/88215,163280,1,"m1141,1168 l1200,1168 l1200,1227 l1141,1227 x e"
331/11844,743290,4,"m1276,1609 l1335,1609 l1335,1668 l1276,1668 x e "
332/D9619,329390,16,"m229,1566 l288,1566 l288,1625 l229,1625 x e "
332/U8473,238-10187-8,2,"m52,1355 l111,1355 l111,1414 l52,1414 x e "
123/08014,266642,8,"m696,1207 l755,1207 l755,1266 l696,1266 x e "
332/G3681,334-F1761-1,2,"m1092,812 l1142,812 l1142,873 l1092,873 x e "
332/J3373,942191,3,"m565,805 l624,805 l624,864 l565,864 x e"
814/00382,256860,2,"m518,680 l577,680 l577,739 l518,739 x e"
332/C4388,980-A0211-1,4,"m1124,1361 l1183,1361 l1183,1420 l1124,1420 x e "
811/90478,126-03150-8,23A,"m1431,310 l1490,310 l1490,369 l1431,369 x e "
629/80108,265883,13,"m318,322 l377,322 l377,381 l318,381 x e"
32/925845,128-G8570-5,1,"m440,443 l499,443 l499,502 l440,502 x e "
334/Y0834,128-G6813-1,3,"m48,1149 l107,1149 l107,1208 l48,1208 x e "
332/F3116,128-F3103-2,1,"m27,504 l86,504 l86,563 l27,563 x e "
826/11629,448622,14,"m367,250 l426,250 l426,309 l367,309 x e "
